hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
movie soundtrack,soundtrack,music genre,,,,,,,,,,,,,
drumming,percussion,,,,,,,,,,,,,,
cowboy,country,music genre,,,,,,,,,,,,,
folk songs,music genre,,,,,,,,,,,,,,
american punk,alternative rock,music genre,,,,,,,,,,,,,
backup,band,musical group,musical organization,music group,voice,bandmember,rock group,rock band,team,air,strain,melodic line,melodic phrase,melody,tune
castanets,percussion,percussive instrument,percussion instrument,instrument,musical instrument,idiophone,,,,,,,,,
radio shows,special interest,music genre,,,,,,,,,,,,,
polka,dance,dance music,musical style,music genre,,,,,,,,,,,
smooth jazz,jazz,music genre,,,,,,,,,,,,,
tenor saxophone,saxist,saxophonist,wind,wind instrument,saxophone,sax,musician,instrument,musical instrument,aerophone,wood,woodwind instrument,woodwind,reed,reed instrument
drum & bass,music genre,,,,,,,,,,,,,,
obbligato,motif,theme,melodic theme,musical theme,air,strain,melodic line,melodic phrase,melody,tune,musical work,line of succession,work of art,,
obligato,motif,theme,melodic theme,musical theme,air,strain,melodic line,melodic phrase,melody,tune,musical work,line of succession,work of art,,
rap music,popular music,popular music genre,african-american music,black music,musical style,music genre,,,,,,,,,
math rock,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,musical style,music genre,popular music,popular music genre,alternative rock,,,,,
quartette,musical composition,piece of music,opus,composition,band,musical group,musical organization,music group,bandmember,rock group,rock band,team,musical work,dance band,dance orchestra
adult contemporary,popular music,popular music genre,radio format,musical style,music genre,pop,,,,,,,,,
lullabies,music genre,,,,,,,,,,,,,,
discant,backup band,musical accompaniment,support,accompaniment,backup,band,musical group,musical organization,music group,voice,bandmember,rock group,rock band,team,air
trad,jazz,popular music,popular music genre,musical style,music genre,,,,,,,,,,
ground bass,ostinato,bass part,bass,phrase,musical phrase,motif,voice,musical passage,passage,theme,melodic theme,musical theme,air,strain,melodic line
christmas carol,religious song,,,,,,,,,,,,,,
surf guitar,music genre,rock guitarists,rock,,,,,,,,,,,,
boogie-woogie,jazz,note,tone,musical note,blues,rhythm,beat,beat level,musical rhythm,popular music,popular music genre,musical style,music genre,musical notation,music notation
twelve-tone music,serialism,serial music,proficiency,technique,musical technique,series,work of art,state,,,,,,,
bass part,voice,air,strain,melodic line,melodic phrase,melody,tune,musical work,line of succession,work of art,,,,,
harmonica blues,blues,music genre,,,,,,,,,,,,,
variations,classical,music genre,,,,,,,,,,,,,
texas blues,blues,regional blues,music genre,,,,,,,,,,,,
duet,band,musical group,musical organization,music group,musical composition,piece of music,opus,composition,musical work,work of art,,,,,
arena rock,classic rock,music genre,,,,,,,,,,,,,
soprano saxophone,instrument,musical instrument,aerophone,,,,,,,,,,,,
gittern,lute,stringed instrument,string instrument,guitar,plucked instrument,plucked string instrument,instrument,musical instrument,,,,,,,
ballroom music,popular music,popular music genre,musical style,music genre,,,,,,,,,,,
alto flute,instrument,musical instrument,aerophone,,,,,,,,,,,,
blues rock,musical style,music genre,rock,,,,,,,,,,,,
southern rock,classic rock,music genre,,,,,,,,,,,,,
book,theater,theatre,dramatics,dramaturgy,dramatic art,fine arts,,,,,,,,,
program music,classical,classical music,serious music,art music,musical composition,piece of music,opus,composition,musical style,music genre,musical work,work of art,,,
hymnody,vocalizing,singer,singing,vocalist,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration,presentation,show
jangle pop,alternative rock,music genre,,,,,,,,,,,,,
reggae,popular music,popular music genre,musical style,music genre,,,,,,,,,,,
operettas,music genre,,,,,,,,,,,,,,
finale,finishing,finish,movement,end,ending,close,closing,cul-de-sac,conclusion,completion,culmination,windup,musical work,musical composition,piece of music
whistling,signal,sign,signaling,sound,sound wave,depiction,portrayal,depicting,portraying,undulation,wave,vibration,oscillation,motion,movement
improvisation,performance,demonstration,presentation,show,entertainment,amusement,classical,music genre,,,,,,,
melodic phrase,musical work,line of succession,work of art,,,,,,,,,,,,
gavotte,dance,dancing,dance music,musical work,performing arts,flick,picture,movie,pic,picture show,film,motion picture,work of art,show,social event
antiphon,responsory,church music,religious music,chant,christian music,musical style,music genre,religious song,vocalizing,singer,singing,vocalist,vocal,song,track
recapitulation,composing,composition,,,,,,,,,,,,,
solfeggio,proficiency,technique,musical technique,vocalizing,singer,singing,vocalist,vocal music,musical performance,state,speech,spoken language,language,performance,performing arts
dance pop,pop,music genre,,,,,,,,,,,,,
zydeco,country,country music,country-western music,country and western,musical style,music genre,traditional music,folk,folkie,folk music,ethnic music,tune,pop musician,pop music,pop
