hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
aileron,means of transportation,travelling,transportation,mode of transport,means of transport,move,passenger transport,aerofoil,surface,airfoil,control surface,aircraft,mechanical assembly,traveling,aeroplane
lustiness,strength,,,,,,,,,,,,,,
lordship,control,authorisation,potency,authorization,,,,,,,,,,,
clerisy,socio-economic class,elite group,social class,upper class,,,,,,,,,,,
chowder,dish,soup,stew,,,,,,,,,,,,
netherworld,imaginary place,mythical place,,,,,,,,,,,,,
freight,traveling,guided transport,transportation,public transport,price,freight transport,shipping,means of transport,train,travelling,railroad train,charge per unit,mode of transport,freight train,transport
font,measure,written symbol,measurement,,,,,,,,,,,,
fine,penalty,money,cost,expenditure,,,,,,,,,,,
stubble,full beard,beard,moustache,facial hair,,,,,,,,,,,
urus,oxen,cow,wild ox,hoofed mammal,bovid,ox,cows,mammal,,,,,,,
drumbeat,sound,technical specification,beat,beat level,musical time,rhythm,musical rhythm,,,,,,,,
blackface,cosmetics,makeup,cosmetic,make-up,war paint,,,,,,,,,,
writer,person,literate,literate person,,,,,,,,,,,,
assertion,declaration,,,,,,,,,,,,,,
diorama,picture,work of art,figure,fault,image,photograph,illustration,photo,drawing,,,,,,
cistron,genetic information,biological sequence,,,,,,,,,,,,,
distributer,supplier,electrical device,provider,,,,,,,,,,,,
shepherd,working man,worker,herder,laborer,clergyman,hired man,workman,person,priest,employee,working person,,,,
fasces,symbolization,representational process,symbolic representation,allegory,,,,,,,,,,,
hit,decease,technical specification,specifications,killer,criminal offence,killing,kill,wrongful act,death,cause of death,actus reus,success,unrighteousness,criminal offense,crime
secular,common man,commoner,,,,,,,,,,,,,
isolationism,argumentation,logical thinking,law of nature,logical argument,argument,natural law,intellection,principle,reasoning,,,,,,
freedman,freeman,performing arts,popular music,breakdance,moving picture,musical work,african-american music,breaking,popular music genre,work of art,break dance,break,freewoman,breakdancing,picture show
continuum,technical specification,space,word string,explanation,possibility,specifications,hypothesis,extent,infinite,metric space,,,,,
progressive,syntactic category,,,,,,,,,,,,,,
complicatedness,complexity,complexness,,,,,,,,,,,,,
delegacy,direction,selection,appointment,technical specification,specifications,assignment,choice,determination,choosing,naming,option,empowerment,management,designation,social control
railyard,track,railway track,train track,topological space,rail track,separable space,hausdorff space,mathematical structure,railroad track,,,,,,
river,waterbody,body of water,,,,,,,,,,,,,
knickers,underwear,trouser,descendants,innerwear,clothing,personal identity,relative,person,male person,physiological property,trousers,posterity,clothes,gender identity,children
newsagent,engineering science,shopkeeper,dbms,database,storekeeper,engineering physics,database management system,tradesman,,,,,,,
sea,turbulent flow,waterbody,flow,natural action,body of water,,,,,,,,,,
pennon,picture,figure,map,artifact,flag,error,wing,,,,,,,,
aqueduct,cylinder,two-dimensional figure,constructed structure,figure,cross section,equipment,packing,tubing,packing material,surface area,,,,,
nuclear energy,phenomenon,algebra,energy,physical property,free energy,scalar,magnitude,variable,natural phenomenon,technical specification,,,,,
powerhouse,work of art,installation,facility,worker,person,squad,,,,,,,,,
hurdling,olympic sport,footrace,run,contest,athlete,race,olympic sports,group event,sport,type of sport,foot race,track event,,,
jammies,nightwear,clothing,sleepwear,nightclothes,clothes,,,,,,,,,,
marriage,point of reference,function,tribe,union,agreement,understanding,note,family unit,written agreement,kin,reference point,annotation,,,
archduke,affix,title,patrician,title of respect,boss,person,chief,honorific,aristocrat,leader,,,,,
complement,technical specification,manpower,specifications,personnel,human resources,work force,workforce,counterpart,membership,activator,,,,,
brewing,manufacture,,,,,,,,,,,,,,
immateriality,unconnectedness,irrelevance,,,,,,,,,,,,,
viscometry,measuring,measure,measurement,,,,,,,,,,,,
aircraft,means of transportation,mechanical assembly,means of transport,travel,move,passenger transport,mode of transport,transport,,,,,,,
interface,code,manifold,landed property,computer circuit,electrical device,circuitry,surface,convergence,intersection,boundary,computer programme,computer code,electronic circuit,equipment,interaction
dividend,cost,profit,net earnings,net profit,net income,earnings,income,financial gain,payment,profits,,,,,
inertia,propensity,natural phenomenon,tendency,physical phenomenon,,,,,,,,,,,
prescription,medical science,drug,medicine,medicinal drug,pharmaceutical drug,practice of medicine,,,,,,,,,
hyperlink,written language,code,computer architecture,reference,coding system,program line,computer code,command,address,link,computer address,address space,,,
licentiate,student,scholarly method,scholar,scholarly person,,,,,,,,,,,
bondman,bond servant,person,slave,,,,,,,,,,,,
loaf,foodstuff,food product,,,,,,,,,,,,,
witch-hunt,persecutor,,,,,,,,,,,,,,
charlotte,dish,dessert,sweet,,,,,,,,,,,,
Hill cipher,secret code,source code,software,cypher,computer code,software package,software program,substitution cipher,coding system,written language,cipher,computer program,cryptograph,computer software,written communication
recycling,usage,use,utilization,,,,,,,,,,,,
community,entourage,social event,world organization,government,club,team sport,tournament,planning board,competition,global organization,sports league,voluntary association,governing,brotherhood,athletic conference
spotting,dirtying,uncovering,soiling,find,discovery,,,,,,,,,,
village,locale,city,mapmaking,,,,,,,,,,,,
lipogram,literary technique,,,,,,,,,,,,,,
belt,control,celestial navigation,loop,constraint,track,restraint,weapon,curved shape,straight line,curvature,accessory,ribbon,continuous function,kilogram calorie,fashion accessory
bolster,padding,cushioning,cushion,pillow,,,,,,,,,,,
gypsum,research laboratory,stone,science laboratory,research lab,rock,geographic point,lab,research centre,research center,research institute,laboratory,calcium sulfate,calcium sulphate,sulfate minerals,
raise,slope,increase,incline,increment,gamble,,,,,,,,,,
pocketbook,soft-cover book,paperback book,storage medium,storage,book,softback book,,,,,,,,,
dub,sound,sense experience,sensation,sense datum,sense impression,auditory sensation,,,,,,,,,
strategy,planned language,software,utility program,software program,operating system,database,programming,service program,software package,plan of action,system software,computer software,computer programming,database management system,computer program
blueness,primary color,spectral color,primary colour,,,,,,,,,,,,
pe,depiction,measurement,measure,representational process,,,,,,,,,,,
fumigation,manual labour,labor market,manual labor,job market,labour market,,,,,,,,,,
satoyama,black and white,,,,,,,,,,,,,,
roomette,compartment,,,,,,,,,,,,,,
firm,place of business,business concern,military action,business organisation,separate legal entity,business establishment,business organization,,,,,,,,
referee,jurisconsult,person,critic,judge,evaluator,jurist,,,,,,,,,
brush-off,rejection,social rejection,,,,,,,,,,,,,
fire,oxidoreduction,onslaught,reaction mixture,chemical reaction,assault,oven,trouble,burning,reaction,combustion,warfare,war,attack,inquiry,redox
ineptitude,inability,unskillfulness,,,,,,,,,,,,,
wheeler,manufacture,horse,proclivity,artificer,artistic movement,traveller,draft horse,art movement,person,artisan,craftsman,traveler,rider,,
precision,set theory,definite quantity,accuracy,accuracy and precision,exactness,,,,,,,,,,
fund,financial gain,transferred property,financial organization,money,net earnings,partnership,profit,net profit,net income,earnings,income,company,profits,gain,
representative,politician,member of parliament,advocate,negotiator,boss,person,chief,political leader,leader,legislator,,,,,
porphyrin,colourant,,,,,,,,,,,,,,
loom,textile machine,,,,,,,,,,,,,,
bibliographic database,bibliology,website,computer file,bibliography,bibliographic index,database,data storage device,appliance,storage,electronic media,list,data-storage medium,data file,database management system,file
wrongness,improperness,immorality,,,,,,,,,,,,,
solid,form,area of mathematics,state,state of matter,natural phenomenon,substantial form,,,,,,,,,
one-way street,right of way,freeway,street,superhighway,route,transport infrastructure,motorway,road traffic,throughway,state highway,traffic,way,controlled-access highway,expressway,
straight,line segment,specifications,form,poker hand,straight line,track,shape,segment,installation art,,,,,,
fibrillin,biomolecule,polymer,macromolecule,biopolymer,glycoprotein,,,,,,,,,,
budget,money,fund,cost,financial plan,expense,monetary fund,,,,,,,,,
confederacy,union,circle,agreement,understanding,,,,,,,,,,,
colugo,animal,,,,,,,,,,,,,,
gamboge,saffron yellow,plant substance,yellow,plant product,secretion,orange yellow,plant material,saffron,natural resin,,,,,,
skeet shooting,shoot,sport,shot,contest,competition,shooting sport,olympic sports,olympic sport,shooting,type of sport,,,,,
ecclesiastic,priest,clergyman,minister,,,,,,,,,,,,
fleur-de-lis,heraldry,motif,figure,picture,image,illustration,emblem,drawing,icon,,,,,,
escheat,portion,transferred property,assets,,,,,,,,,,,,
century,area of mathematics,metric,time interval,time unit,years,solar year,si base unit,orbital period,fundamental measure,measure,period of time,long time,annum,tropical year,astronomical year
imperialism,policy,foreign policy,intellection,thought process,thinking,,,,,,,,,,
triple,multiple,technical specification,calculation,mathematical process,membership,multiplication,reckoning,achievement,times,mathematical operation,binary operation,binary arithmetic operation,mathematical product,,
cribbage,tabletop game,card game,,,,,,,,,,,,,
rheumatism,illness,sickness,autoimmune disease,arthritis,disease,inflammatory disease,disorder,,,,,,,,
viola,stringed instrument,instrument,string instrument,musical instrument,plucked string instrument,,,,,,,,,,
grand,picture,moving picture,locale,season,unit of length,large integer,television show,moving-picture show,sitcom,tv program,television series,venue,social event,television program,percussion
magnetometer,measuring system,measuring instrument,measuring device,meter,,,,,,,,,,,
Panthera pardus,carnivore,feline,big cat,cat,felid,carnivory,,,,,,,,,
belfry,tower,constructed structure,,,,,,,,,,,,,
assignment,project,mention,task,homework,reference,selection,schoolwork,agreement,school assignment,acknowledgment,,,,,
defeat,finish,failure,dissatisfaction,letdown,discontentedness,undesirable,ending,discontentment,conclusion,,,,,,
global warming,temperature change,natural action,,,,,,,,,,,,,
stripe,marking,fashion accessory,clothing,symbolisation,clothes,,,,,,,,,,
bartlett,plant,green goods,pear,edible fruit,woody plant,flowering tree,pear tree,,,,,,,,
grandee,nobleman,noble,patrician,boss,person,chief,aristocrat,lord,leader,blue blood,,,,,
saprolite,stone,rock,,,,,,,,,,,,,
meningitis,inflammation,disease,sickness,disorder,illness,,,,,,,,,,
regulating,control,,,,,,,,,,,,,,
shtup,bodily process,sexual love,vaginal sex,sexual act,coitus,sexual practice,love life,making love,sexual relation,shag,copulation,sex position,human sexual activity,sexual activity,sexual penetration
field hospital,military hospital,medical facility,health facility,military medicine,medical building,healthcare facility,hospital,,,,,,,,
docker,working man,workingman,software program,system software,labourer,operating system,computer program,systems program,computer programme,laborer,software package,workman,systems software,system program,working person
endeavour,undertaking,,,,,,,,,,,,,,
toll road,motorway,way,route,transport infrastructure,main road,freeway,state highway,physical system,superhighway,controlled-access highway,expressway,,,,
Internet,computing device,data processor,information processing system,communications system,software component,software program,telecom system,telecom equipment,computer,server system,telecommunication system,software engineering,connexion,electronic computer,electronic network
prince,person,chief,leader,constituent,title,,,,,,,,,,
timber,durable good,habitat,structural member,home ground,single-valued function,forrest,raw material,architectural element,biosystem,durable goods,surroundings,support,surround,microenvironment,environment
wage,spending,regular payment,cost,expenditure,payment,,,,,,,,,,
state of nature,schoolbook,technical specification,term logic,system of rules,text,school text,system of logic,specifications,state,written document,way,logic,aristotelian logic,method,logical system
carat,weight unit,,,,,,,,,,,,,,
galoshes,overshoe,footgear,footwear,shoe,,,,,,,,,,,
parents,relative,antecedent,person,forefather,progenitor,ancestor,genitor,,,,,,,,
schoolwork,project,undertaking,task,assignment,,,,,,,,,,,
unloading,manual labour,handling,job market,labour economics,labour market,employment market,manual labor,toil,labor market,,,,,,
steppe,environs,home ground,plain,surround,environment,environment variable,,,,,,,,,
complaint,objection,cry,vocalization,pleading,yell,utterance,,,,,,,,,
science journalism,medium,periodical publication,enquiry,transmission channel,storage medium,journalism,research,periodical literature,investigation,inquiry,piece of work,periodical,investigating,communication medium,channel
mischance,function,fortuna,misfortune,fortune,bad luck,trouble,luck,,,,,,,,
mayweed,tracheophyte,flower,plant,,,,,,,,,,,,
precipitation,phenomenon,weather,drop,fluid,pace,h2o,magnitude,atmospheric phenomenon,atmospheric condition,variable,physical phenomenon,weather condition,natural phenomenon,natural action,movement
puffing,breathing,sickness,reaction mixture,breathe out,cigarette,illness,chemical action,smoking,chemical change,nonsmoker,breathing out,respiration,external respiration,non-smoker,disease
signal,function,electrical energy,algebra,electric energy,psychic energy,binary relation,free energy,magnitude,mental energy,electricity,portraying,physical phenomenon,forms of energy,incitation,energy
aridity,specifications,climatology,technical specification,,,,,,,,,,,,
lousiness,distastefulness,unpleasantness,fullness,,,,,,,,,,,,
terminology,investigating,investigation,research,,,,,,,,,,,,
clipping,decrease,reduction,extract,lessening,,,,,,,,,,,
ecology,environment,,,,,,,,,,,,,,
penal colony,city,penal facility,penal institution,,,,,,,,,,,,
breechcloth,clothing,clothes,,,,,,,,,,,,,
sight,picture,perception,moving picture,sense modality,picture show,season,sensitivity,sensation,video recording,engineering,television show,moving-picture show,visual image,sensory faculty,serial
riel,monetary unit,,,,,,,,,,,,,,
integration,mathematical operation,thought process,problem solving,mathematical process,,,,,,,,,,,
religion,social function,scheme,social event,social occasion,religious ceremony,spiritism,occasion,group event,figure of speech,rhetorical device,religious ritual,,,,
innovation,mechanical assembly,mechanism,,,,,,,,,,,,,
developmental disability,malady,illness,sickness,pathological state,disease,disorder,,,,,,,,,
Intersection,freeway,junction,constructed structure,thoroughfare,route,motorway,throughway,state highway,physical system,superhighway,turnpike,controlled-access highway,expressway,,
studbook,point of reference,written account,register,written record,evidence,animal husbandry,indication,scientific evidence,indicant,husbandry,registry,,,,
patient,person,diseased person,sufferer,sick person,,,,,,,,,,,
witchery,black magic,magic,thaumaturgy,necromancy,enchantment,spell,sorcery,supernaturalism,black art,black magick,,,,,
blacktopping,paving material,paving,,,,,,,,,,,,,
perpendicular,technical specification,area of mathematics,pure mathematics,architectural style,category,database,geometry,straight line,social control,architecture,style of architecture,type of architecture,,,
lyceum,school,observance,constructed structure,ceremonial,university,group event,educational institution,public building,hall,,,,,,
bastinado,righteousness,torture,maltreatment,mistreatment,corporal punishment,physical punishment,bludgeon,penalisation,penalty,person,penalization,truncheon,punishment,torturing,
lava dome,mound,protrusion,bulge,,,,,,,,,,,,
spondee,poetic rhythm,unit of time,cadence,rhythmic pattern,musical rhythm,beat level,meter,musical time,,,,,,,
wildlife,life,,,,,,,,,,,,,,
certificate,written document,assets,asset,,,,,,,,,,,,
chrysoberyl,stone,oxide mineral,precious stone,crystal,pebble,gemstone,gem,,,,,,,,
sprain,accidental injury,pull,damage,twist,bad luck,injury,,,,,,,,,
militia,paramilitary,military force,paramilitary unit,military group,paramilitary organization,paramilitary force,military unit,paramilitary organisation,military organization,,,,,,
octillion,natural number,definite quantity,counting number,large integer,natural numbers,whole number,,,,,,,,,
still-life,work of art,painting,genre of painting,method,,,,,,,,,,,
cutoff,infrastructure,superhighway,constructed structure,transport infrastructure,motorway,base,controlled-access highway,limitation,route,freeway,limit,way,,,
harasser,disagreeable person,attacker,person,wrongdoer,persona non grata,aggressor,bad person,,,,,,,,
parceling,distribution,,,,,,,,,,,,,,
technophobia,fearfulness,fear,dislike,revulsion,detestation,,,,,,,,,,
jockey,picture,person,figure,horseback rider,photo,figure painting,rider,horseman,,,,,,,
junkware,software,computer code,software package,software program,coding system,computer program,computer programme,written communication,computer software,,,,,,
spam,category,abstract object,service,software package,transmission,set theory,middleware,network service,transmitter,e-mail,proper subset,electronic mail,electronic communication,software,pure mathematics
full-duplex,communication equipment,communications system,communication system,telecom system,telecom equipment,connection,interconnection,telecommunication equipment,connexion,telecommunication system,,,,,
palomino,wild horse,horsie,race,horse,hoofed mammal,,,,,,,,,,
fishmeal,feed,plant food,organic fertiliser,chemical fertiliser,fertilizer,organic food,,,,,,,,,
revetment,barrier,facing,obstruction,siding,protection,protective covering,obstructor,,,,,,,,
mycelium,plant structure,plant part,,,,,,,,,,,,,
vehicle,means of transportation,medium,transportation,transmission,travel,move,passenger transport,mechanism,motion,means of transport,mechanical assembly,traveling,mode of transport,travelling,transport
slump,decline,decline in quality,decrease,technical specification,decrement,,,,,,,,,,
bowsprit,spar,pole,rod,,,,,,,,,,,,
delta,written language,cartography,alluvion,figure,soil,measurement,sign,shape,equilateral triangle,programing language,abstract object,contour,graphic symbol,trilateral,alphabetic character
pellicle,tegument,skin,,,,,,,,,,,,,
rejection,observable,,,,,,,,,,,,,,
spectroscope,scientific instrument,optical instrument,,,,,,,,,,,,,
insignia,symbolization,symbolic representation,emblem,symbolisation,representational process,,,,,,,,,,
sort,planned language,artificial language,processing,formal language,data processing,constructed language,programming language,,,,,,,,
expedition,voyage,journey,journeying,campaign,difference of opinion,temporal property,rapidity,,,,,,,,
accessibility,convenience,suitability,suitableness,,,,,,,,,,,,
coordinator,person,arranger,thinker,organizer,intellect,,,,,,,,,,
fosterling,person,kid,youngster,minor,child,,,,,,,,,,
organdy,muslin,textile,cloth,,,,,,,,,,,,
consigner,shipper,,,,,,,,,,,,,,
steeper,vessel,container,artifact,,,,,,,,,,,,
coder,person,technologist,applied scientist,computer user,engineer,,,,,,,,,,
immunologist,bookselling,bookman,medicine,bookstore,student,biologist,history of medicine,biomedical scientist,branch of science,life science,medical specialty,,,,
nag,disagreeable person,person,horse,mammal,animal,,,,,,,,,,
workhouse,lockup,slammer,penal institution,gaol,prison,correctional institution,clink,poorhouse,,,,,,,
prerogative,natural law,law of nature,principle,,,,,,,,,,,,
invalid,person,diseased person,unfortunate,sick person,,,,,,,,,,,
software suite,computer code,computer software,software package,software program,coding system,code,computer program,computer programme,software,,,,,,
department,cardinal number,branch,aspect,government agency,,,,,,,,,,,
sorcerer,necromancy,spell,imaginary being,black art,imaginary creature,black magick,,,,,,,,,
Scleranthus,plant,,,,,,,,,,,,,,
AI,bodily process,biomolecule,ductus,intelligence,salpinx,passageway,genital,body process,canal,oviduct,body structure,sex organ,passage,sexual organ,bodily structure
equitation,contest,,,,,,,,,,,,,,
relative humidity,magnitude,dimensionless quantity,quantitative relation,,,,,,,,,,,,
dragnet,police procedural,moving picture,literary composition,mesh,television show,moving-picture show,mystery story,crime novel,tv program,network,television series,meshwork,computer network,detective novel,crime thriller
caldera,separation process,volcanic crater,natural elevation,,,,,,,,,,,,
earphones,speaker system,electrical device,electronic component,,,,,,,,,,,,
pottery,locale,edifice,locus,public building,workshop,workplace,geographic point,,,,,,,,
restriction fragment,fragment,,,,,,,,,,,,,,
diffraction,function,operator,natural phenomenon,,,,,,,,,,,,
arboriculture,agriculture,,,,,,,,,,,,,,
pigweed,leafy vegetable,green goods,perennial,herb,amaranth,leaf,green,vegetable,goosefoot,green vegetable,plant part,,,,
summit,specifications,extremity,primitive notion,point of intersection,,,,,,,,,,,
enrollee,person,,,,,,,,,,,,,,
strange quark,quark,high energy physics,fundamental particle,branch of science,quark theory,elementary particle,superpartner,molecular entity,high-energy physics,,,,,,
gabardine,coverall,fabric,pant,textile,clothing,clothes,,,,,,,,,
wrestle,competitor,contest,athlete,contact sport,contestant,olympic sport,type of sport,,,,,,,,
minors,olympic sport,contest,athlete,team sport,social event,competition,brotherhood,team,group event,sport,type of sport,tourney,,,
coda,pike,musical composition,end,musical work,main road,ending,freeway,developed country,,,,,,,
commoner,person,,,,,,,,,,,,,,
bulkhead,obstruction,partition,barrier,,,,,,,,,,,,
groceries,marketplace,merchandising,global market,sales outlet,world market,street market,mart,market place,retail store,market,outlet,,,,
mercer,trader,dealer,,,,,,,,,,,,,
issuer,juridical personality,legal person,artificial personality,,,,,,,,,,,,
gusset,plate,work of art,military force,proper class,cloth,calculation,piece of material,armour,armor,arm,structural member,protection,protective cover,computation,strengthener
nationalization,social control,,,,,,,,,,,,,,
tricolour,picture,figure,map,fault,image,portraiture,flag,drawing,mistake,,,,,,
whoredom,anti-social behaviour,criminal offense,crime,wrong,law-breaking,wrongful conduct,criminal offence,,,,,,,,
suite,picture,flat,data storage device,transmission channel,housing,pic,social event,living accommodations,business process,data-storage medium,storage device,storage medium,channel,,
Caddoan,ordering,library science,ordination,knowledge organization,,,,,,,,,,,
wave,hair styling,tone,technical specification,oscillation,trend,curve,move,hairstyle,nonverbal communication,energy unit,shape,growth,physical phenomenon,emergence,natural phenomenon
felicity,suitability,suitableness,,,,,,,,,,,,,
statice,plant,perennial,,,,,,,,,,,,,
drinking,bodily function,bodily process,consumption,body process,,,,,,,,,,,
light pollution,pollution,environmental condition,impurity,environmental pollution,,,,,,,,,,,
Georgian era,period of time,,,,,,,,,,,,,,
shock,illness,bodily process,disaster,physical property,magnitude relation,evidence,reflex response,fighting,quantitative relation,physical phenomenon,prostration,natural phenomenon,phenomenon,acceleration,ratio
grafting,affixation,,,,,,,,,,,,,,
stairway,way,stair,,,,,,,,,,,,,
portraitist,person,painter,,,,,,,,,,,,,
liquid nitrogen,molecular entity,nitrogen,,,,,,,,,,,,,
video,engineering science,medium,telecommunication,telecom,transmission channel,storage medium,visual communication,recording,business process,broadcasting,mass media,technology,communication medium,channel,
bell-bottoms,innerwear,pantie,clothing,panties,pants,,,,,,,,,,
click,sound,phone,mechanism,,,,,,,,,,,,
suzerainty,locale,signal,studio album,transmission,making,binary relation,communication medium,mapping,ascendance,mathematical relation,,,,,
index,data structure,computer file,written language,database,list,social norm,arrangement,ordered series,data file,write-up,database management system,technical standard,mathematical notation,text file,written document
sonogram,picture,drawing,figure,fault,,,,,,,,,,,
rotter,disagreeable person,person,unpleasant person,,,,,,,,,,,,
royalist,political organization,political party,,,,,,,,,,,,,
scrolling shooter,computer program,software program,pc game,computer game,moving picture,action game,video game console,software application,app,electronic game,shooter game,video game genre,picture show,game console,games console
microprocessor,semiconductor,silicon chip,microprocessor chip,chip,electronic equipment,micro chip,electronic circuit,circuitry,semiconductor device,microchip,processor,semiconductor unit,,,
capital,measuring,city,architectural element,metrology,centre,country,measure,work of art,depiction,magnitude,measurement,depicting,written symbol,graphic symbol,center
bird,aeroplane,animal tissue,yell,aircraft,female,child,mode of transport,girlie,means of transportation,meat,weapon system,motion,fille,animal,projectile
exercise,social function,function,task,schoolwork,group event,social occasion,homework,,,,,,,,
Kingdom,sound system,sound reproduction,data storage device,replication,sound recording,medium,communication medium,album,work of art,audio system,signal,record album,recording,data-storage medium,transmission channel
Brassica napus,mustard plant,oilseed,,,,,,,,,,,,,
praise,worshipping,worship,,,,,,,,,,,,,
degree,temperature unit,written document,technical specification,,,,,,,,,,,,
Copper oxide,oxide,metal oxide,,,,,,,,,,,,,
teleportation,transfer,movement,transportation,transport,transferral,,,,,,,,,,
bachelor,patrician,person,chief,leader,,,,,,,,,,,
Green,stone,precious stone,jade,spectral color,silicate mineral,crystal,primary color,primary colour,spectral colour,gem,,,,,
slut,album,debauchee,libertine,musical work,sloven,record album,pig,slob,studio album,audio signal,fornicator,,,,
haulier,person,contractor,,,,,,,,,,,,,
convert,person,,,,,,,,,,,,,,
swashbuckler,person,fictitious character,venturer,adventurer,fictional character,cartoon character,,,,,,,,,
casino,tabletop game,business establishment,card game,gambling den,gambling house,gaming house,,,,,,,,,
derby,hat,,,,,,,,,,,,,,
bookkeeping,accounting,accountancy,,,,,,,,,,,,,
chai tea,liquid state,drinkable,fluid,drink,beverage,,,,,,,,,,
halfpenny,note,metal money,coinage,coin,,,,,,,,,,,
crumpet,concoction,food product,foodstuff,pastry,dessert,sweet,pastry dough,,,,,,,,
cotton candy,confectionery,flavoring,flavouring,sweet,refined sugar,sugars,delicacy,candy,sugar,sweets,treat,goody,business process,confection,
ensign,paygrade,figure,military rank,symbolisation,flag,rank,commissioned officer,,,,,,,,
vulcanite,rubber,mixture,construction aggregate,,,,,,,,,,,,
webmail,website,electronic media,code,webpage,storage medium,software program,web app,application program,site,applications programme,web site,email reader,internet site,textfile,communication medium
links,cartography,sports venue,links course,facility,golf course,installation art,,,,,,,,,
mestranol,bodily fluid,hormone,estrogen,steroid,sex steroid,sex hormone,steroid hormone,,,,,,,,
crab,venereal disease,illness,marine animal,marine ecology,decapod crustacean,sea creature,venereal infection,crustacea,grump,crank,infection,contagious disease,sea animal,marine creature,sealife
baba,stock character,person,female person,,,,,,,,,,,,
charcoal,picture,graphic,gray,greyness,illustration,portraiture,carbonaceous,grayness,carbon,writing implement,drawing,,,,
bonemeal,organic,fertiliser,organic fertiliser,chemical fertilizer,organic fertilizer,fertilizer,organic food,,,,,,,,
hypertext markup language,computer code,code,computer,language,computer language,markup language,string,,,,,,,,
visibility,clarity,clearness,,,,,,,,,,,,,
time-ball,ball,form,globe,sphere,shape,geometric shape,round shape,spheroid,orb,,,,,,
charity,foundation,sharing,christian,gift,not-for-profit,thought process,giving,disposal,share-out,mentation,benevolence,nonprofit organization,scheme,social control,stimulus
customer,person,consumer,user,,,,,,,,,,,,
village hall,public building,town hall,constructed structure,,,,,,,,,,,,
filial piety,moral philosophy,philosophy,ideal,virtue,chastity,,,,,,,,,,
proof,point of reference,picture,photograph,uncovering,photo,pic,grounds,evidence,photographic print,determination,piece of work,print,indication,discovery,photographic printing
feebleness,malady,illness,predisposition,sickness,weakness,unfitness,pathological state,disease,clinical symptom,softness,disorder,,,,
teamster,operator,worker,driver,motorist,person,,,,,,,,,,
animosity,offence,hatred,rebuff,,,,,,,,,,,,
volcanology,branch of science,geophysical science,,,,,,,,,,,,,
bend,map,technical specification,form,curve,curved shape,angular shape,shape,abstract object,motion,movement,,,,,
serial,periodical,show,periodical literature,series,broadcast,mass medium,mass media,channel,,,,,,,
lysine,essential amino acid,amino acid,acid,,,,,,,,,,,,
malware,software,computer code,software package,software program,computer program,computer software,computer programme,,,,,,,,
wood nymph,nymph,,,,,,,,,,,,,,
poetry,library science,,,,,,,,,,,,,,
market research,enquiry,investigating,investigation,inquiry,research,,,,,,,,,,
Grosgrain,textile,cloth,fabric,,,,,,,,,,,,
radical feminism,perspective,,,,,,,,,,,,,,
tension,nervousness,stress,mental strain,phenomenon,mechanical stress,strain,stretching,hostility,physical property,expansion,difficulty,nerves,physical phenomenon,nervous strain,
administrator,superordinate,person,supervisor,leader,boss,,,,,,,,,,
doodlebug,animal,larva,passenger transport,crustacea,crustacean,isopod,conveyance,aeroplane,vehicle,airplane,movement,,,,
power point,component,,,,,,,,,,,,,,
crosswind,current of air,weather,atmospheric phenomenon,atmospheric condition,air current,physical phenomenon,weather condition,natural phenomenon,wind,phenomenon,,,,,
Wakashan,ordinary language,language,human language,american indian,north american indian,population group,native americans,person,indian,indigenous peoples,primitive person,philosophy of language,native american,natural language,
collection,storage medium,storage,data-storage medium,,,,,,,,,,,,
terrier,canid,carnivore,domestic dog,canis familiaris,dog type,domestic animal,dogness,dog,canine,domesticated animal,animal,carnivory,,,
psychedelic,psychoactive drug,drug,,,,,,,,,,,,,
kingbird,tyrant flycatcher,bird,animal,flycatcher,,,,,,,,,,,
light,electromagnetic wave,life,phenomenon,visual property,insight,emission,sign,signaling,light fixture,natural phenomenon,visual aspect,electrical appliance,signal,visual signal,variable quantity
cutlery,tableware,implement,,,,,,,,,,,,,
vibe,atmosphere,popular music,dance band,popular music genre,rock band,music genre,african-american music,musical style,dance orchestra,black music,,,,,
sub-interval,area of mathematics,,,,,,,,,,,,,,
Catholic,religious person,person,christian,,,,,,,,,,,,
banyan,plant,fig tree,clothes,,,,,,,,,,,,
workingman,employee,person,worker,,,,,,,,,,,,
insight,knowing,intuition,perception,sensitivity,understanding,sensibility,sensitiveness,,,,,,,,
tetramethylammonium hydroxide,quaternary ammonium,quaternary ammonium compound,,,,,,,,,,,,,
negation,averment,disaffirmation,denial,,,,,,,,,,,,
marketing research,investigating,investigation,inquiry,research,,,,,,,,,,,
quake,natural disaster,disaster,danger,hazard,endangerment,calamity,natural phenomenon,tragedy,geological phenomenon,risk,,,,,
sucralfate,pharmaceutical drug,medicine,medicinal drug,drug,,,,,,,,,,,
brittle,sweetshop,confectionery,confectionary,sweet,confection,candy,confect,sweets,treat,boutique,candy store,,,,
glen,locale,valley,natural depression,,,,,,,,,,,,
corneum,layer,stratum,,,,,,,,,,,,,
decal,transfer paper,,,,,,,,,,,,,,
decaf,coffee plant,coffee,drinkable,regular coffee,cup of joe,,,,,,,,,,
executive vice president,corporate executive,administrator,title of respect,vice president,business executive,executive,boss,vp,chief,executive director,v.p.,decision maker,honorific,corporate title,senior management
