hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
cardiopulmonary bypass,pump,bypass,,,,,,,,,,,,,
general nurse,healthcare professional,professional nurse,worker,nurse,,,,,,,,,,,
cancer,clinical finding,malady,illness,sickness,disorder,disease,growth,anatomical pathology,malignancy,pathology,medical research,medical diagnosis,clinical diagnosis,pathological state,research
blood cell count,clinical evaluation,cell count,procedure,,,,,,,,,,,,
psychological medicine,medical research,speciality,specialty,specialisation,medical specialty,specialism,research,career,medical science,practice of medicine,,,,,
traumatic brain injury,malady,illness,sickness,disorder,disease,pathological state,neurological lesion,intracranial injury,clinical finding,trauma,injury,brain injury,,,
primary exertional headache,pain,clinical finding,craniofacial pain,neurological finding,headache,,,,,,,,,,
glycerol,closure,embolism,occlusion,attack,affliction,trouble,vascular disease,soft tissue lesion,clinical finding,disease,respiratory disorder,,,,
pulmonary valvotomy,osmotic laxative,macromolecule,carbohydrate,saccharide,alcohol,polyol,fluid,sugar,drug,,,,,,
human metapneumovirus infection,clinical finding,infectious disease,disease,infection,,,,,,,,,,,
pisiform bone,carpal,carpal bone,os,bone,connective tissue,conjunctive tissue,organ,animal tissue,,,,,,,
cardiovascular therapy,medical therapies,therapeutic procedure,procedure,therapy,,,,,,,,,,,
pulmonary eosinophilia,disease of lung,clinical finding,inflammatory disorder,disease,respiratory disorder,pneumonitis,eosinophilia,,,,,,,,
psychostimulant withdrawal,clinical finding,drug withdrawal,withdrawal,,,,,,,,,,,,
chronic lung disease,disease of lung,clinical finding,disease,respiratory disorder,,,,,,,,,,,
orthodontics,specialty,dentistry,dental medicine,medicine,medical specialty,medical science,practice of medicine,surgical specialty,,,,,,,
liver cancer,gastrointestinal cancer,liver disease,carcinoma,cancer,malady,illness,sickness,disorder,disease,neoplasm,malignant neoplasm,malignant tumor,metastasis,secondary tumor,metastatic tumor
lipoid pneumonia,disease of lung,clinical finding,inflammatory disorder,disease,respiratory disorder,pneumonitis,pneumonia,,,,,,,,
blood sugar,glucose,simple sugar,monosaccharide,hexose,aldose,carbohydrate,saccharide,sugar,specifications,macromolecule,,,,,
hypertrophic cardiomyopathy,cardiomyopathy,myocardiopathy,malady,illness,sickness,disorder,disease,heart disease,cardiopathy,cardiovascular disease,pathological state,cardiac finding,clinical finding,,
femoral artery,artery,arteria,blood circulation,blood supply,vasculature,bloodstream,cardiovascular system,vessel,vas,vascular system,tube,anatomical structure,,,
periodontosis,malady,illness,sickness,disorder,disease,,,,,,,,,,
prostatic adenocarcinoma,adenocarcinoma,cancer,carcinoma,tumor,neoplasm,malignant neoplasm,malignant tumor,metastasis,secondary tumor,metastatic tumor,malady,illness,sickness,disorder,disease
cardio-facio-cutaneous syndrome,clinical finding,congenital malformation,multiple congenital anomalies,disease,syndrome,,,,,,,,,,
pneumovirus,microorganism,virus,,,,,,,,,,,,,
clinic nurse,healthcare professional,professional nurse,worker,nurse,,,,,,,,,,,
day nursery,nursery,chamber,bedroom,,,,,,,,,,,,
forehead,os,bone,feature,caput,connective tissue,conjunctive tissue,organ,body part,,,,,,,
leprosy neuropathy,clinical finding,neuropathy,disease,peripheral nerve disease,leprosy,infectious disease,,,,,,,,,
large neuron,entire cell,body structure,anatomical structure,neuron,,,,,,,,,,,
sitting blood pressure,blood pressure,,,,,,,,,,,,,,
neuronal ceroid lipofuscinosis,degenerative disorder,clinical finding,metabolic disease,storage disease,disease,lipofuscinosis,hereditary disease,,,,,,,,
muscular tonus,tonicity,tone,tonus,eccentric contraction,muscle contraction,tension,tautness,tenseness,state,,,,,,
fetal head,head structure,body structure,anatomical structure,body region,,,,,,,,,,,
pediatric neurologist,healthcare professional,physician,medical doctor,worker,medical practitioner,pediatrician,neurologist,,,,,,,,
audiometry,otology,medicine,medical specialty,medical science,practice of medicine,,,,,,,,,,
tension headache,cephalalgia,headache,ache,aching,neurological disorder,neurological disease,nervous disorder,painful sensation,pain,pain sensation,hurting,malady,illness,sickness,disorder
aponeurosis,fascia,connective tissue,conjunctive tissue,neurosis,,,,,,,,,,,
stomach cancer,gastrointestinal cancer,malady,illness,sickness,disorder,disease,cancer,tumor,neoplasm,malignant neoplasm,malignant tumor,secondary tumor,metastatic tumor,growth,anatomical pathology
bone graft,implantation,grafting procedure,introduction,procedure,graft,,,,,,,,,,
oral irrigation,introduction,irrigation,procedure,,,,,,,,,,,,
nonspecific interstitial pneumonia,disease of lung,lung consolidation,idiopathic interstitial pneumonia,pneumonia,clinical finding,inflammatory disorder,disease,interstitial pneumonia,pneumonitis,respiratory disorder,,,,,
cardiogenic mesoderm,body structure,anatomical structure,mesoderm,,,,,,,,,,,,
endometrial cancer,carcinoma,cancer,malady,illness,sickness,disorder,disease,tumor,neoplasm,malignant neoplasm,malignant tumor,metastasis,secondary tumor,metastatic tumor,growth
bronchoalveolar cancer,malignant tumor,disease of lung,clinical finding,lung mass,respiratory disorder,adenocarcinoma of lung,disease,cancer,,,,,,,
arterial blood,blood,humor,biofluid,humour,body fluid,fluid,,,,,,,,,
psychoanalysis,psychiatry,psychological medicine,psychotherapy,therapy,psychological science,psychology,medical research,speciality,specialty,specialisation,medical specialty,specialism,specialization,medicine,medical care
progressive inflammation,inflammation,,,,,,,,,,,,,,
periosteal bone formation,musculoskeletal function,functions,bone formation,,,,,,,,,,,,
pulmonary sarcoidosis,disease of lung,clinical finding,inflammatory disorder,disease,respiratory disorder,sarcoidosis,pulmonary granuloma,lung mass,,,,,,,
pulmonary vein stenosis,vascular disease,respiratory disorder,venous occlusion,venous stenosis,soft tissue lesion,disease,clinical finding,stenosis,,,,,,,
oral sedation,administration of substance,introduction,procedure,sedation,,,,,,,,,,,
neuromuscular hamartoma,hamartoma,soft tissue lesion,skin lesion,disease,clinical finding,soft tissue mass,,,,,,,,,
bone marrow depression,clinical finding,disease,depression,decrease,,,,,,,,,,,
neuropathic bladder,clinical finding,bladder dysfunction,,,,,,,,,,,,,
sugar cane,cane,canopy,stalk,,,,,,,,,,,,
neurofibroma,tumor,neoplasm,malady,illness,sickness,disorder,disease,growth,anatomical pathology,pathology,medical diagnosis,clinical diagnosis,pathological state,diagnosing,diagnosis
pneumonitis,flushing,rubor,inflammation,redness,clinical symptom,malady,illness,sickness,disorder,disease,state,pathological state,disease of lung,clinical finding,inflammatory disorder
recurrent aspiration pneumonia,disease of lung,lung consolidation,clinical finding,inflammatory disorder,disease,aspiration pneumonitis,pneumonia,pneumonitis,respiratory disorder,recurrent pneumonia,,,,,
neurological symptom,clinical finding,neurological finding,,,,,,,,,,,,,
neurotropism,tropism,phenomenon,reaction,response,bodily function,operator,function,map,mapping,,,,,,
lung mass,clinical finding,,,,,,,,,,,,,,
vascular headache,malady,illness,sickness,disorder,disease,cephalalgia,headache,ache,aching,nervous disorder,painful sensation,pain,pain sensation,hurting,clinical symptom
femoral triangle,body structure,anatomical structure,body region,,,,,,,,,,,,
endochondral bone formation,bone formation,musculoskeletal function,function,,,,,,,,,,,,
clinical neurophysiologist,healthcare professional,physician,medical practitioner,,,,,,,,,,,,
chronic respiratory acidosis,chronic metabolic disorder,clinical finding,metabolic disease,disease,respiratory acidosis,acidosis,,,,,,,,,
psychiatry,medical research,speciality,specialty,specialisation,medical specialty,specialism,specialization,medicine,research,career,medical science,practice of medicine,branch of science,,
primary spontaneous pneumothorax,pneumothorax,spontaneous pneumothorax,clinical finding,disease,,,,,,,,,,,
pediatric oncologist,healthcare professional,physician,medical doctor,worker,medical practitioner,pediatrician,oncologist,,,,,,,,
interpersonal psychotherapy,therapy,therapeutic procedure,psychotherapy,,,,,,,,,,,,
static lung compliance,thoracic compliance,compliance,,,,,,,,,,,,,
alveolar bone,appendage,outgrowth,,,,,,,,,,,,,
exploration of brain,clinical evaluation,brain examination,neurological examination,procedure,exploration,,,,,,,,,,
cor pulmonale,hypertrophy,hyperchromatism,dysplasia,cardiac finding,disease,clinical finding,cardiopathy,,,,,,,,
sarcoid neuropathy,neuropathy,clinical finding,inflammatory disorder,disease,peripheral nerve disease,sarcoidosis,,,,,,,,,
lacrimal bone,os,bone,connective tissue,conjunctive tissue,organ,animal tissue,,,,,,,,,
cancer hospital,hospital,site of care,,,,,,,,,,,,,
kidney,organ,internal organ,viscus,,,,,,,,,,,,
neuromelanin,melanin,protein,pigment,,,,,,,,,,,,
talonavicular joint,body structure,anatomical structure,body region,joint structure,joint,,,,,,,,,,
deep brain stimulation,procedure,stimulation procedure,brain stimulation,stimulation,,,,,,,,,,,
acoustic neuroma,neurological lesion,soft tissue lesion,clinical finding,neuropathy,disease,peripheral nerve disease,neurilemoma,soft tissue mass,neuroma,,,,,,
cardioversion,intervention,medical procedure,participation,procedure,,,,,,,,,,,
pulmonary rehabilitation service,service,healthcare services,rehabilitation service,,,,,,,,,,,,
neuroleptic therapy,administration of substance,medication therapy,introduction,administration of medication,therapeutic procedure,therapy,,,,,,,,,
critical illness polyneuropathy,neuropathy,clinical finding,disease,peripheral nerve disease,,,,,,,,,,,
lobe of liver,liver structure,anatomical structure,body structure,body region,,,,,,,,,,,
bone tumor,tumor,neoplasm,malady,illness,sickness,disorder,disease,growth,anatomical pathology,pathology,medical diagnosis,clinical diagnosis,pathological state,diagnosing,diagnosis
cancer drug,cytotoxic drug,medicine,medicament,drug,,,,,,,,,,,
audiogram,clinical evaluation,hearing test,diagnostic procedure,audiological evaluation,,,,,,,,,,,
brain injury,accidental injury,injury,damage,,,,,,,,,,,,
cognitive neuropsychology,cognitive approach,cognitive psychology,psychological science,neuropsychology,,,,,,,,,,,
bone marrow culture,clinical evaluation,microbial culture,laboratory procedure,laboratory test,culture,,,,,,,,,,
neuromuscular junction disorder,clinical finding,disease,disorder,,,,,,,,,,,,
neuroleptic-induced acute akathisia,drug-induced akathisia,movement disorder,akathisia,clinical finding,disease,,,,,,,,,,
auxiliary nurse,healthcare professional,worker,nursing personnel,nurse,,,,,,,,,,,
blood disorder,blood dyscrasia,dyscrasia,,,,,,,,,,,,,
blood flow,cardiovascular function,functions,vascular function,,,,,,,,,,,,
chronic interstitial pneumonia,disease of lung,lung consolidation,clinical finding,inflammatory disorder,disease,interstitial pneumonia,pneumonia,pneumonitis,respiratory disorder,interstitial lung disease,,,,,
blood vessel,vasculature,vessel,vas,tube,anatomical structure,body structure,,,,,,,,,
cancer antigen 72-4,carbohydrate antigen,antigen,tumor-associated antigen,analyte,,,,,,,,,,,
necrotizing ulcerative periodontitis,oral lesion,soft tissue lesion,clinical finding,periodontal disease,inflammatory disorder,disease,ulcer,periodontitis,injury,,,,,,
giant axonal neuropathy,clinical finding,neuropathy,disease,axonal neuropathy,,,,,,,,,,,
chronic liver disease,clinical finding,disease,liver disease,,,,,,,,,,,,
reducing sugar,sugar,refined sugar,sugars,artificial sweetener,sweetener,sugar substitute,food additive,flavoring,additive,addition,improver,,,,
direct current cardioversion,cardioversion,procedure,,,,,,,,,,,,,
brain abscess,abscess,neurological lesion,clinical finding,inflammatory disorder,disease,intracranial abscess,,,,,,,,,
chordoma,anatomical pathology,clinical diagnosis,pathological state,medical diagnosis,clinical finding,clinical symptom,body structure,proliferation,technology,diagnosis,pathology,physician,disorder,neoplasm,sickness
surgical oncology service,service,surgical service,,,,,,,,,,,,,
psychogenic headache,clinical finding,headache,headache disorder,,,,,,,,,,,,
psychogenic amnesia,clinical finding,neurosis,dissociative disorder,disease,amnesia,,,,,,,,,,
odontohypophosphatasia,clinical finding,metabolic disease,disease,hypophosphatasia,hereditary disease,,,,,,,,,,
cardiovascular implant,implant,,,,,,,,,,,,,,
peripheral blood flow,cardiovascular function,blood flow,functions,vascular function,,,,,,,,,,,
neuronal depopulation,clinical finding,depopulation,,,,,,,,,,,,,
neuroglobin,protein,biopolymer,macromolecule,biomolecule,,,,,,,,,,,
planum temporale,brain,encephalon,neural structure,organ,anatomical structure,body structure,,,,,,,,,
spindle cell oncocytoma,proliferation,epithelial neoplasm,neoplasm,,,,,,,,,,,,
bone function,musculoskeletal function,functions,,,,,,,,,,,,,
psychotherapist,healthcare professional,,,,,,,,,,,,,,
respiratory infection,contagion,infectious disease,infection,communicable diseases,malady,illness,sickness,disorder,disease,,,,,,
blood clotting,clotting,blood coagulation,coagulation,procoagulant,,,,,,,,,,,
neurosarcoidosis,malady,illness,sickness,disorder,disease,pathological state,clinical finding,inflammatory disorder,sarcoidosis,,,,,,
pulmonary vein atresia,vascular disease,soft tissue lesion,disease,clinical finding,congenital malformation,respiratory disorder,congenital vascular anomaly,congenital disease,atresia,,,,,,
natural head position,clinical finding,,,,,,,,,,,,,,
pulmonary artery aneurysm,vascular disease,soft tissue lesion,aneurysm,disease,clinical finding,respiratory disorder,arterial aneurysm,,,,,,,,
neuroticism,disturbance,psychological disorder,psychiatric condition,folie,mental disturbance,mental illness,mental disorder,sickness,disorder,disease,pathological state,,,,
chronic cluster headache,headache disorder,clinical finding,disease,trigeminal autonomic cephalalgia,cluster headache,headache,,,,,,,,,
femoral nerve,spinal nerve,nerve,nervus,fibre bundle,fascicle,fasciculus,fiber bundle,nervous tissue,nerve tissue,intersection,,,,,
retropubic prostatectomy,excision,prostatectomy,removal,procedure,surgical removal,,,,,,,,,,
head nurse,nurse,caregiver,health professional,primary care provider,pcp,,,,,,,,,,
compulsive neurosis,clinical finding,anxiety disorder,mental disorder,disease,neurosis,,,,,,,,,,
psychomotor epilepsy,epilepsy,encephalopathy,brain disease,brain disorder,neurological disorder,neurological disease,nervous disorder,malady,illness,sickness,disorder,disease,cns,partial seizure,seizure disorder
taurodontism,malady,illness,sickness,disorder,disease,pathological state,clinical finding,congenital malformation,facial dysmorphism,,,,,,
neuromyelitis,inflammatory neuropathy,neuritis,neuropathy,clinical finding,inflammatory disorder,disease,myelitis,,,,,,,,
cardioembolic stroke,cerebrovascular accident,vascular disease,cerebrovascular disease,embolism,soft tissue lesion,disease,clinical finding,stroke,,,,,,,
intramuscular hematoma,soft tissue lesion,bleeding,hematoma,disease,clinical finding,soft tissue mass,,,,,,,,,
hip bone,flat bone,os,bone,connective tissue,conjunctive tissue,organ,animal tissue,,,,,,,,
psychoanalyst,healthcare professional,psychotherapist,,,,,,,,,,,,,
mirror neuron,nerve cell,neuron,neurone,cell,somatic cell,,,,,,,,,,
child psychotherapy,psychotherapy,therapy,medical care,medical aid,treatment,intervention,aid,attention,health care,care,therapeutic procedure,,,,
zygomatic bone,temporal bone,os,bone,connective tissue,conjunctive tissue,organ,animal tissue,,,,,,,,
idiopathic stabbing headache,headache disorder,clinical finding,disease,,,,,,,,,,,,
pediatric otolaryngology,otolaryngology,,,,,,,,,,,,,,
pharmaceutical company,firm,corporation,company,partnership,venture,enterprise,,,,,,,,,
cancer en cuirasse,carcinoma of breast,clinical finding,disease of breast,disease,malignant tumor,breast lump,cancer,,,,,,,,
acute respiratory distress,respiratory distress,distress,clinical finding,difficulty breathing,,,,,,,,,,,
isolated pulmonary capillaritis,vascular disease,vasculitis,clinical finding,inflammatory disorder,disease,capillaritis,,,,,,,,,
pulmonary artery branch,type of vessel,anatomical structure,body structure,chest,cardiovascular structure,body region,soft tissues,branch,,,,,,,
psychoactive substance abuse,clinical finding,disease,substance abuse,abuse,,,,,,,,,,,
pulmonary fat embolism,vascular disease,respiratory disorder,embolism,soft tissue lesion,clinical finding,fat embolism,disease,pulmonary embolism,,,,,,,
pneumocystosis,contagion,infectious disease,infection,communicable diseases,pathological state,clinical finding,mycosis,,,,,,,,
pediatrician,healthcare professional,physician,worker,medical practitioner,,,,,,,,,,,
neuroradiology,speciality,specialty,specialisation,medical specialty,specialism,specialization,career,medicine,medical science,practice of medicine,,,,,
cathelicidin antimicrobial peptide,protein,peptide,octapeptide,undecapeptide,nonapeptide,hexapeptide,decapeptide,biopolymer,macromolecule,polymer,amide,biomolecule,functional group,chemical series,radical
forebrain,neural structure,anatomical structure,body structure,,,,,,,,,,,,
acute pulmonary thromboembolism,vascular disease,thromboembolic disease,embolism,thrombosis,acute pulmonary embolism,pulmonary thromboembolism,soft tissue lesion,clinical finding,pulmonary embolism,respiratory disorder,acute disease,acute respiratory disease,arterial thrombosis,disease,pulmonary thrombosis
focal brain injury,neurological lesion,clinical finding,intracranial injury,disease,trauma,injury,,,,,,,,,
esthesioneuroblastoma,malady,illness,sickness,disorder,disease,cancer,tumor,neoplasm,malignant neoplasm,malignant tumor,metastasis,secondary tumor,metastatic tumor,growth,anatomical pathology
peripheral demyelinating neuropathy,degenerative disorder,neuropathy,clinical finding,disease,peripheral nerve disease,,,,,,,,,,
deep peroneal neuropathy,neuropathy,clinical finding,disease,peripheral nerve disease,,,,,,,,,,,
diabetic peripheral neuropathy,neuropathy,clinical finding,diabetic neuropathy,disease,peripheral nerve disease,peripheral neuropathy,,,,,,,,,
proto-oncogene,gene,factor,genetic information,nucleic acid sequence,biological sequence,,,,,,,,,,
imaging of brain,clinical evaluation,imaging of head,imaging,,,,,,,,,,,,
pneumococcus,bacteria,bacterium,microorganism,,,,,,,,,,,,
hindbrain,neural structure,anatomical structure,body structure,,,,,,,,,,,,
desquamative interstitial pneumonia,disease of lung,lung consolidation,idiopathic interstitial pneumonia,clinical finding,inflammatory disorder,disease,respiratory disorder,interstitial pneumonia,pneumonia,pneumonitis,,,,,
analgesic overuse headache,pain,clinical finding,craniofacial pain,medication overuse headache,neurological finding,headache disorder,headache,,,,,,,,
chronic kidney failure,malady,illness,sickness,disorder,disease,kidney failure,renal failure,nephrosis,renal disorder,nephropathy,kidney disease,failure,urologic disease,uropathy,pathological state
pulmonary veno-occlusive disease,vascular disease,clinical finding,disease,precapillary pulmonary hypertension,,,,,,,,,,,
neurogenic pulmonary edema,disease of lung,edema,clinical finding,disease,pulmonary edema,,,,,,,,,,
adenocarcinoma of lung,disease of lung,lung mass,disease,clinical finding,malignant tumor,respiratory disorder,adenocarcinoma,,,,,,,,
inherited optic neuropathy,neuropathy,clinical finding,disease,optic neuropathy,,,,,,,,,,,
pneumocephalus,malady,illness,sickness,disorder,disease,pathological state,clinical finding,,,,,,,,
adenocarcinoma of prostate,malignant tumor,abdominal mass,clinical finding,pelvic mass,carcinoma of prostate,disease,cancer of prostate,carcinoma,adenocarcinoma,,,,,,
neuroethics,bioethics,neuroscience,neurobiology,philosophy,medical research,,,,,,,,,,
familial amyloid polyneuropathy,familial disease,degenerative disorder,neuropathy,hereditary peripheral neuropathy,metabolic disease,disease,peripheral nerve disease,polyneuropathy,clinical finding,amyloidosis,,,,,
blood-cerebrospinal fluid barrier,function,nervous system function,,,,,,,,,,,,,
psychodrama,intervention,participation,art therapy,therapy,psychotherapy,,,,,,,,,,
stable blood pressure,clinical finding,,,,,,,,,,,,,,
solitary pulmonary nodule,clinical finding,lung mass,single lesion,nodule,,,,,,,,,,,
disjointedness,incoherence,disconnection,disjunction,disconnectedness,separation,,,,,,,,,,
odontoblast,cell,constituent,,,,,,,,,,,,,
blood group antigen,antigen,,,,,,,,,,,,,,
urolithiasis,clinical finding,disease,lithiasis,,,,,,,,,,,,
biopsy of liver,removal,biopsy,procedure,,,,,,,,,,,,
alcoholic fatty liver,clinical finding,disease,liver damage,degenerative disorder,,,,,,,,,,,
prosthodontics,specialty,dentistry,dental medicine,medicine,medical specialty,medical science,practice of medicine,,,,,,,,
palliative care service,service,,,,,,,,,,,,,,
pneumoconiosis,respiratory disorder,respiratory disease,pulmonary disease,respiratory illness,malady,illness,sickness,disorder,disease,pathological state,disease of lung,clinical finding,inflammatory disorder,pneumonitis,occupational lung disease
prostate,anatomical structure,body region,pelvic organ,abdominal organ,body structure,endocrine gland,exocrine gland,,,,,,,,
odontalgia,ache,aching,painful sensation,pain,pain sensation,hurting,clinical symptom,sentience,sense,sensation,somatic sensation,somatosensory system,malady,illness,sickness
pediatric oncology department,hospital environment,hospital department,environment,,,,,,,,,,,,
odontoma,hamartoma,malady,illness,sickness,disorder,disease,growth,congenital defect,congenital disorder,birth defect,congenital abnormality,congenital anomaly,defect,anomaly,imperfection
psychotherapy,therapy,psychiatry,psychopathology,psychological medicine,medical care,medical aid,medical research,speciality,specialty,specialisation,medical specialty,specialism,specialization,medicine,treatment
familial prostate cancer,malignant tumor,familial disease,abdominal mass,clinical finding,pelvic mass,disease,cancer of prostate,prostate cancer,cancer,,,,,,
neuropathology,medical research,clinical neurology,neurology,pathology,research,speciality,specialty,specialisation,medical specialty,specialism,specialization,medicine,medical diagnosis,clinical diagnosis,pathological state
ganglioneuroma,malady,illness,sickness,disorder,disease,pathological state,clinical finding,neuroma,,,,,,,
obesity,fatness,malady,illness,sickness,disorder,disease,pathological state,,,,,,,,
traumatic optic neuropathy,neurological lesion,neuropathy,clinical finding,nerve damage,disease,trauma,optic neuropathy,,,,,,,,
rapidly progressive periodontitis,clinical finding,periodontal disease,inflammatory disorder,disease,periodontitis,,,,,,,,,,
cardiopulmonary bypass system,cardiopulmonary bypass circuit,oxygenator,device system,perfusion pump,,,,,,,,,,,
fracture of bone,clinical finding,bone injury,disease,trauma,injury,fracture,,,,,,,,,
induced psychotic disorder,clinical finding,mental disorder,disease,,,,,,,,,,,,
pulmonary vascular resistance,vascular resistance,,,,,,,,,,,,,,
medication overuse headache,pain,clinical finding,craniofacial pain,neurological finding,headache,,,,,,,,,,
continuous blood sampling,clinical evaluation,removal,monitoring procedure,monitoring of patient,sampling,,,,,,,,,,
acute respiratory infection,infectious disease,clinical finding,disease,acute respiratory disease,respiratory disorder,acute infectious disease,respiratory tract infection,respiratory infection,infection,,,,,,
primary pulmonary lymphoma,malignant tumor,disease of lung,clinical finding,lymphoproliferative disorder,respiratory disorder,lung mass,malignant lymphoma,disease,lymphoma,,,,,,
psychoactive substance dependence,clinical finding,mental disorder,disease,dependence,,,,,,,,,,,
renal blood flow,function,renal function,blood flow,flow,,,,,,,,,,,
